,类型,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
411,工具分析报告 (24),ChessMaster的新战略：不断发展的工具和战术,2017/11/6,暂无数据,"['漏洞利用', '水坑式攻击', '鱼叉式网络钓鱼电子邮件']",ChessMaster,几周前，我们观察到ChessMaster的新活动，在初始攻击中没有出现的新工具和战术方面取得了显着进展。从我们所看到的情况来看，ChessMaster正在不断发展，使用开源工具和他们开发的工具，可能是一种匿名化运营的方式。
412,工具分析报告 (24),Wilted Tulip攻击行动揭露网络间谍工具,2017/7/25,暂无数据,"['供应链攻击', '漏洞利用', '水坑式攻击', '鱼叉式网络钓鱼电子邮件']",CopyKittens,以色列ClearSky网络安全公司与Trend Micro公司联合发布的报告表示与伊朗有所关联的网络间谍组织复制猫自2013年以来仍然设法从以色列、土耳其、沙特阿拉伯、约旦乃至美国的军方及政府机构、学术组织、市政当局以及IT企业当中成功窃取到大量数据。在过去几年当中，“复制猫”曾经先后使用数十个域名，其中大部分假冒微软、谷歌、Amazon、Facebook以及甲骨文等企业，旨在进行恶意软件交付、托管恶意站点以及进行命令与控制操作等。尽管显然存在资源受限问题，但“复制猫”还是设法入侵了一部分在线新闻媒体与普通网站，而后利用其实施水坑式攻击。
413,工具分析报告 (24),HIDDEN COBRA–朝鲜的DDoS僵尸网络基础设施,2017/6/13,暂无数据,['DDOS攻击'],Hidden CobraLazarus,该报告结合了美国国土安全部（ DHS ）与联邦调查局（ FBI ）联合调查的结果，其中还包括一份与恶意软件 DeltaCharlie 感染系统相关的 IP 地址列表。DeltaCharlie 最初被 Novetta 联盟发现并宣称是黑客组织 Lazarus 武器库的 DDoS 工具。此外，该报告还称 Lazarus 为 Hidden Cobra，并将该组织活动与朝鲜政府关联。
414,工具分析报告 (24),工业控制系统面临的新威胁,2017/6/12,暂无数据,['漏洞利用'],暂无数据,"ESET 公布一款针对电力变电站系统进行恶意攻击的工控网络攻击武器 -win32/Industroyer (ESET命名), ESET 表示该攻击武器可以直接控制断路器，可导致变电站断电。 Industroyer 恶意软件目前支持四种工控协议：IEC 60870-5-101、IEC 60870-5-104、IEC 61850以及OLE for Process Control Data Access（简称OPC DA）。这些协议广泛应用在电力调度、发电控制系统以及需要对电力进行控制行业，例如轨道交通、石油石化等重要基础设施行业，尤其是 OPC 协议作为工控系统互通的通用接口更广泛应用在各工控行业。 与2015年袭击乌克兰电网最终导致2015年12月23日断电的攻击者使用的工具集（BlackEnergy、KillDisk、以及其他攻击模块）相比，这款恶意软件的功能意义重大，它可以直接控制开关和断路器，Industroyer 身后的黑客团队无论从技术角度还是从对目标工控系统的研究深度都远远超过了2015年12月乌克兰电网攻击背后的黑客团队。"
415,工具分析报告 (24),Microsoft Office漏洞 CVE-2015-2545 威胁概述,2016/5/25,暂无数据,"['跨站脚本攻击', '零日漏洞', 'APT攻击', 'DDOS攻击', '拒绝服务攻击', '水坑式攻击', '中间人攻击', '供应链攻击', '漏洞利用', '无文件攻击']",APT16,CVE-2015-2545是一种Microsoft Office漏洞，允许通过使用特殊的Encapsulated PostScript （EPS）图形文件任意执行代码。这种漏洞于2015年3月被发现，同年9月微软发布了修复补丁（MS15-099）。在2015年8月，发现了首个试图使用CVE-2015-2545漏洞进行针对性攻击的Platinum白金 (也称为TwoForOne) 网络犯罪组织。漏洞补丁发布后，有效的组织了攻击行为。11月至12月期间，又有两个网络被称为APT16（FireEye分类）和Evilpost（由卡巴斯基实验室发现）的间谍攻击组织开始利用这种漏洞对攻击目标进行攻击。如果系统没有修复这一漏洞，那遭遇的风险将非常严重。利用这一漏洞攻击的过程为：利用包含附件（伪装成Word文件，其中嵌入了EPS图片，内部包含漏洞利用程序）的钓鱼邮件，激活下载，从命令和控制服务器下载其它恶意软件组件到受感染系统。之后，又有多个攻击组织如SPIVY使用不同的漏洞利用程序版本入侵系统。利用此漏洞的攻击概述：2009年，Platinum（也称为TwoForOne）是第一个利用此漏洞的黑客组织，该组织来自东南亚；2015年11月到12月间，APT16利用此漏洞对台湾的信息和通讯社进行了攻击；2015年12月，卡巴斯基实验室发现针对日本国防部门的EvilPost攻击，利用了此漏洞；SPIVY攻击，2016年3月至4月，发现了一系列针对CVE-2015-2545漏洞的电子邮件，这些电子邮件是以钓鱼攻击的方式发送，估计是针对香港的组织发起的攻击；Danti攻击，Danti（卡巴斯基实验室的内部名称）是从2015年以来一直活跃的APT黑客组织，主要针对印度政府组织。利用CVE-2015-2545漏洞，在2016年2月，对印度外交部、大使馆等发起了袭击；三月袭击，2016年3月底，Danti组织对印度政府机构发起了新一轮的攻击，仍然是应用此漏洞，通过发送恶意电子邮件的方式进行；SVCMONDR：台湾案，2015年12月，发现了CVE-2015-2545的漏洞利用中找到的shellcode类型的另一个例子，12月11日，攻击者向台湾安全软件经销商的一名雇员发送了一个钓鱼邮件。附件包含一个带有“1-3说明档.doc”的Web存档文件和一个恶意的EPS文件。
416,工具分析报告 (24),POISON IVY评估损害和提取情报,2013/8/21,暂无数据,['C&C'],暂无数据,相比恶意软件主要用于伺机发起网络犯罪行为（如僵尸主机），RAT却常常代表了一次高级持续威胁活动。RAT需要有人员参与执行。 Poison Ivy这款已有8年历史的远程控制工具，虽被IT安全业熟知，但目前仍十分流行且有效。本文针对该RAT，通过其密钥形式，扩展分析其家族程序，及所涉及的威胁事件。
417,攻击者分析报告 (21),Marco Ramilli发布针对伊朗APT组织的分析报告,2020/1/15,暂无数据,['暂无数据'],APT33ElfinMuddyWaterAPT34OilRigCopyKittensCleaverTG-2889,Marco Ramilli研究人员发布了针对伊朗APT组织的初步分析报告，其基于MITER ATT＆CK和Malpedia介绍了组织之间的相互关系。OilRig组织主要在中东开展活动，目标是该地区各行各业的组织，偶尔也会将目标锁定在中东以外的组织。OilRig也会进行供应链攻击。OilRig使用Mimikatz和laZagne等开源工具，Microsoft发行版或sysinternals上可用的常见sysadmin工具集。MuddyWater组织主要针对中东国家，同时也针对欧洲和北美国家。该组织的受害者主要是电信，政府（IT服务）和石油部门。目前只有Powerstats后门才被归因于该组织。APT33组织至少从2013年开始运营，目标是美国、沙特阿拉伯和韩国的多个行业的组织，其TTP非常接近MuddyWater。CopyKittens是至少从2013年就开始运作，目标国家包括以色列、沙特阿拉伯、土耳其、美国、约旦和德国，其使用CobaltStrike工具，在Windows和IOS上使用了代码签名。Cleaver组织，负责Cleaver行动，强有力的间接证据表明Cleaver与组织2889 (TG-2889)有关。
418,攻击者分析报告 (21),伊朗向美国发起的网络攻击历史活动汇总,2020/1/9,暂无数据,['暂无数据'],APT33ElfinMuddyWaterAPT34OilRigDarkhotelDarkhotelAPT-C-06,paloalt对来自伊朗的高级威胁做个详细的描述，报告APT组织，APT组织的攻击活动，TTP 战法对应的ATTCK 、详细的IOC 信息等
419,攻击者分析报告 (21),肚脑虫(Donot)组织和C-Major组织的钩沉拾遗,2019/12/28,暂无数据,"['鱼叉式网络钓鱼电子邮件', '跨站脚本攻击', 'APT攻击', 'DDOS攻击', '拒绝服务攻击', '水坑式攻击', '中间人攻击', '供应链攻击', '无文件攻击']",DonotAPT-C-35肚脑虫TransparentTribe,近期，安恒安全研究院猎影威胁分析团队对肚脑虫(donot)组织进行了一些梳理，在梳理过程中，又发现了一些和 C-Major 组织的关联项。于是对这两个组织做了对比分析。
420,攻击者分析报告 (21),奇安信斩断东北亚APT组织“虎木槿”伸向国内重要机构的魔爪,2019/12/5,暂无数据,['暂无数据'],虎木槿,通过取证溯源分析，奇安信威胁情报中心红雨滴团队已完整捕获相关APT组织利用漏洞攻击的全过程。目标包括多个国内核心教育科研政府机构和个人，只要受攻击目标使用特定浏览器近期的版本打开网页就可能中招，被黑客植入后门木马甚至完全控制电脑。分析显示，该攻击利用了多个较老版本的Chrome浏览器内核的漏洞，国内外使用了这些较老版本渲染核心且没有对应漏洞缓解措施的浏览器用户成为本次APT攻击的目标。
421,攻击者分析报告 (21),黄金雕（APT-C-34）组织攻击活动揭露,2019/11/21,暂无数据,['暂无数据'],APT-C-34黄金雕,"360 高级威胁应对团队通过关联 Hacking Team 武器，发现了一支活跃在中亚地区，从未被外界知晓的APT组织黄金雕（APT-C-34）。该组织制作了大量的伪装的文档和图片文件作为鱼叉攻击的诱饵，这些文件通过伪装图标诱导用户点击，实际上是 EXE 和 SRC 后缀的可执行文件，同时会释放弹出真正的文档和图片欺骗受害者。其中部分诱饵程序安装包脚本会自动将程序添加到注册表项中，实现自启动驻留。除此之外，该组织还使用物理接触手段进行攻击，部分受害者曾经接入过包含恶意程序和安装脚本的 U 盘。同时该组织也使用了 HackingTeam 的物理攻击套件，该套件需要通过恶意硬件物理接触目标机器，在系统引导启动前根据系统类型植入恶意程序，支持 Win、Mac 和 Linux 平台。该组织采购了一家俄罗斯公司""YURION""的硬件设备产品，该公司是一家俄罗斯的安全防务公司，专门出售无线电监听、窃听等设备，该组织有可能使用该公司的一些特殊硬件设备直接对目标的通讯等信号进行截取监听。 该组织的后门技术主要通过改造正规软件(如TeamViewer Hijacker、RMS Hijacker' )、自主研发( 如Harpoon后门 )和采购商业木马(如HackingTeam 商业后门)这三种方式进行。其绝大部分受害者都集中在哈萨克斯坦国境内，主要涉及政府机关、航空航天、教育、军方、媒体和政府异见人士等，除此以外，还有部分中国背景的受害者，涉及我方与哈萨克合作项目组和驻哈教育机构，而极少数的受害者位于我国西北部地区。"
422,攻击者分析报告 (21),APT组织“拍拍熊”对巴勒斯坦政府攻击事件报告,2019/11/11,暂无数据,"['鱼叉式网络钓鱼电子邮件', '木马后门']",APT-C-37拍拍熊,瑞星威胁情报中心最近捕获到两起针对巴勒斯坦大选的APT攻击事件，该组织通过投放伪装成巴勒斯坦选举会议的相关文档等方式进行远程控制攻击，其意图以攻击巴勒斯坦政府为主，目的在于影响巴勒斯坦国家大选。钓鱼邮件使用巴勒斯坦选举主题，攻击者投放的病毒样本为SFX（自解压）文件，并且图标被伪装成WORD图标。攻击者为了迷惑受害者，会先将诱饵文档释放在%temp%路径下，并打开，然后利用mshta.exe执行http://192.119.111.4/xx/dv脚本，同时在启动菜单中下创建一个指向执行脚本的LNK文件，以维护持久性。恶意活动最终投递Houdini远控木马收集受害者系统信息和进行远程控制。
423,攻击者分析报告 (21),APT组织黑格莎(Higaisa)针对朝鲜目标进行攻击活动,2019/11/5,暂无数据,['暂无数据'],暂无数据,"腾讯威胁情报中心在2019年年初捕获到一起攻击活动，该攻击活动一直持续到现在。根据对该活动中所使用的攻击技术、被攻击人员背景等分析研判，认为其背后组织为来自韩国的具有政府背景的APT攻击组织，取名为""黑格莎(Higaisa)""。该组织常利用节假日、朝鲜国庆等朝鲜重要时间节点来进行钓鱼活动，诱饵内容包括新年祝福、元宵祝福、以及重要新闻、海外人员联系录等等。除此之外，其恶意软件还伪装成常用软件或下载插件等，针对移动端目标进行攻击。被攻击的对象还包括跟朝鲜相关的外交实体(如驻各地大使馆官员)、政府官员、人权组织、朝鲜海外居民、贸易往来人员等。目前监测到的受害国家包括中国、朝鲜、日本、尼泊尔、新加坡、俄罗斯、波兰、瑞士等。"
